variable,value,notes
yml_template,template_auto_build.yml,The yml template file
change_number,TKTNUMBER,
service_vrf_name,VRF_NAME,
vlan_tag,107,
service_export_rt,12345:1,
pe_name_a,SOME-ROUTER-00,
pe_mgmt_ip_a,10.1.1.1,
pe_interface_a,Te0/2/0/7,
pe_ip_a,10.2.2.1,
pe_mask_a,255.255.255.254,
ce_bgp_as,123456,
ce_name_a,SOME-CE-00,
ce_ip_a,10.2.2.2,
pe_name_b,SOME-ROUTER-01,
pe_mgmt_ip_b,10.1.1.2,
pe_interface_b,Te0/2/0/7,
pe_ip_b,1.1.1.1,
pe_mask_b,255.255.255.254,
ce_name_b,SOME-CE-01,
ce_ip_b,10.2.2.5,
